,Coefficient,Std. Error,t-statistic,p-value,CI Lower,CI Upper,Sig.
head_sex,0.0637,0.0532,1.1963,0.2316,-0.0407,0.1681,
head_age,-0.0202,0.009,-2.2498,0.0245,-0.0378,-0.0026,**
head_age_sq,0.0001,0.0001,1.7158,0.0862,-0.0,0.0003,*
hh_size,-0.1989,0.0134,-14.8371,0.0,-0.2252,-0.1726,***
dep_ratio,0.0056,0.0283,0.1987,0.8425,-0.0498,0.061,
livelihood_ag,5.504,0.3004,18.3192,0.0,4.9151,6.0929,***
land_ha_log,0.4101,0.0242,16.9678,0.0,0.3628,0.4575,***
d_south,-0.7741,0.196,-3.9505,0.0001,-1.1582,-0.3901,***
d_west,-0.7645,0.1974,-3.872,0.0001,-1.1514,-0.3775,***
d_north,-0.3219,0.197,-1.6341,0.1022,-0.708,0.0642,
d_east,-0.5491,0.1968,-2.7904,0.0053,-0.9348,-0.1634,***
