,Logit ME,Logit SE,Logit p-val,Logit Sig.,Probit ME,Probit SE,Probit p-val,Probit Sig.
head_sex,-0.0282,0.0191,0.14,,-0.0282,0.0193,0.1443,
head_age,0.0043,0.0035,0.2189,,0.0045,0.0035,0.2054,
head_age_sq,-0.0,0.0,0.4091,,-0.0,0.0,0.3929,
hh_size,0.0547,0.0046,0.0,***,0.0567,0.0047,0.0,***
dep_ratio,-0.0163,0.01,0.1052,,-0.018,0.0102,0.0781,*
land_ha_log,-0.1125,0.0086,0.0,***,-0.1166,0.0089,0.0,***
d_south,0.1567,0.0805,0.0515,*,0.1507,0.0764,0.0486,**
d_west,0.1693,0.0806,0.0358,**,0.1649,0.0767,0.0315,**
d_north,0.0175,0.0816,0.8301,,0.0098,0.0774,0.8988,
d_east,0.1079,0.0809,0.1822,,0.1031,0.0767,0.1787,
